date,other,ba1,ba2,ba.2.12.1,ba.2.12
3/22/22,3.28939029,40.64520218,44.70148308,2.59855495,8.765369502
3/23/22,3.207288157,37.3705229,47.40421815,2.708099339,9.309871459
3/24/22,3.181025896,34.99128486,49.29033865,3.012948207,9.52440239
3/25/22,2.99741276,32.42885089,51.25891336,3.325550577,9.989272417
3/26/22,2.968553459,30.55345912,52.71698113,3.553459119,10.20754717
3/27/22,2.942671921,29.21062667,53.66086183,3.756196771,10.42964281
3/28/22,2.813316825,26.6474068,55.90865318,4.230293025,10.40033017
3/29/22,2.836665409,24.76801207,56.91437194,4.669935873,10.81101471
3/30/22,2.700747528,22.691102,57.89727514,5.63459529,11.07628004
3/31/22,2.569086453,20.33296713,59.07208654,6.642440632,11.38341925
4/1/22,2.837344321,18.9156288,59.75278584,7.079314543,11.41492649
4/2/22,2.755780805,17.64333228,60.38433112,7.760532151,11.45602365
4/3/22,2.721252258,16.0987357,61.51715834,8.199879591,11.46297411
4/4/22,2.876168886,14.7208841,61.71720034,9.152734486,11.53301218
4/5/22,2.679618154,13.49857645,62.46859822,9.780606264,11.5726009
4/6/22,2.824601367,11.79954442,63.91799544,10.27334852,11.18451025
4/7/22,3.24005891,9.351988218,65.83210604,10.49337261,11.08247423
